127.0.0.1 - - [04/Aug/2017:11:59:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:22 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=Ramkrishna HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:23 +0530] "GET /pvs-inventory/Body/inventory_transaction/paddress.jsp?count=ram HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:26 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 500 5617
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:30:18 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:34:22 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:34:27 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:27 +0530] "GET /pvs-inventory/salesreturn HTTP/1.1" 200 116579
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:28 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:28 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:29 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:34 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count= HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:38:34 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:30 +0530] "GET /pvs-inventory/login.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:33 +0530] "POST /pvs-inventory/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:33 +0530] "GET /pvs-inventory/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:33 +0530] "GET /pvs-inventory/loader1 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:34 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:40:34 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:43:31 +0530] "POST /pvs-inventory/load.action HTTP/1.1" 200 13198
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:43:55 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:43:55 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:43:55 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:43:57 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:44:23 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunbubun0 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:02 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:03 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:03 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:04 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
